"id"|"description"|"message"|"first_part"|"vendor_net"|"creation_date"|"sales_history"
"0"|||"AEX-125294"|"100"|"01/81"|"1"
"6"|"AMGAUGE"|"BUY FROM APA"|"AMG-"|"100"|"01/81"|"1"
"7"|"ATLANTIC RACK"||"ATR-1237"|"100"|"01/81"|"1"
"8"|"ATLANTIC ENT"||"ATL-"|"100"|"01/81"|"1"
"9"|"A1 AXLES"|"GET ATL NMBR"|"A1A-"|"100"|"01/81"|"1"
"10"|"3-M PRODUCTS"||"3/M-"|"100"|"01/81"|"1"
"11"|"AUTO SPLY WHS"|"BETTER-N-BEST"|"ASW-801-1199"|"100"|"01/96"|"1"
"13"|"GUARDIAN"|"HARDWARE"|"GUA-"|"100"|"08/96"|"1"
"14"|"A1 RACKS"|"P S FLUID"|"A1R-"|"100"|"01/81"|"1"
"15"|"A1 CARDONE"|"ANT1/BRKFLUID"|"A1C-"|"100"|"01/81"|"1"
"16"|"ASW FRONT END"|"CHEAP CHEAP"|"ASF-"|"100"|"01/81"|"1"
"17"|"AC DELCO"||"ACD-15-60054"|"100"|"01/81"|"1"
"18"|"AGS LOCK LUBE"|"BRAKE LINES"|"AGS-"|"100"|"01/81"|"1"
"19"|"AIRTEX"|"LTD LIFETIME"|"AIR-"|"100"|"01/81"|"1"
"23"|"ANCO WIPERS"|"WINSHIELDWASH"|"ANC-"|"100"|"01/81"|"1"
"24"|"ANTIFREEZE"||"ANT-"|"100"|"01/81"|"1"
"25"|"ATLTC/PACIFIC"||"AMG-223R"|"100"|"01/81"|"1"
"26"|"AC SPARKPLUGS"|"CAP/ROTOR"|"APL-"|"100"|"01/81"|"1"
"27"|"ARMORALL"||"ARM-"|"100"|"01/81"|"1"
"29"|"AUTO TRANS PT"|"DEXTRON"|"ATP-"|"100"|"01/81"|"1"
"30"|"AUTOLITE PLUG"||"AUT-"|"100"|"01/81"|"1"
"31"|"BCA BEARINGS"|"SEALS/GREASE"|"BCA-"|"100"|"01/81"|"1"
"32"|"BECK ARNLEY"|"ONLY BEST"|"BEC-"|"100"|"01/91"|"1"
"33"|"BELDEN WIRES"|"CAP ROTOR PLG"|"BEL-"|"100"|"01/81"|"1"
"36"|"BEC PADS"|"BUY FROM FAP"|"BAP-"|"100"|"01/81"|"2"
"37"|"BREEZE CLAMPS"|"HOSES ANT1"|"BRE-C"|"100"|"01/81"|"1"
"38"|"BOSAL EXHAUST"|"CLAMPS GASKET"|"BSL-"|"100"|"01/81"|"1"
"39"|"BUSS FUSES"||"BUS-"|"100"|"01/81"|"1"
"40"|"MOTORCRAFT"||"MOT-"|"100"|"01/81"|"1"
"42"|"PETERSON MFG"|"ANTENNA & ACC"|"P/M-95010-1"|"100"|"01/81"|"1"
"44"|"CASTROL OIL"|"FILTERS"|"CAS-"|"100"|"01/81"|"1"
"46"|"CLEVITE"|"GASKETS"|"CLE-95197"|"100"|"01/81"|"1"
"47"|"CARLSON"||"CLS-"|"100"|"01/81"|"1"
"48"|"CARTER"||"CAR-1P-303"|"100"|"08/02"|"1"
"49"|"BOSAL CATS"||"BSL-099035"|"100"|"01/81"|"1"
"50"|"CHAMPION PLUG"||"CPL-"|"100"|"01/81"|"1"
"51"|"CRC AUTOMOTIV"||"CRC-"|"100"|"01/81"|"1"
"54"|"DL HANDCLEANR"||"D/L-"|"100"|"01/81"|"1"
"55"|"DAYCO BELTS"||"DAY-09260"|"100"|"01/81"|"1"
"56"|"DOAN MOUNTS"||"DOA-2654"|"100"|"01/81"|"1"
"57"|"DORMAN"|"WHEEL CLEANER"|"DOR-"|"100"|"01/81"|"1"
"58"|"NORTHEAST BAT"|"SPRAY PROTECT"|"NOR-"|"100"|"12/99"|"1"
"59"|"DUPLICOLOR"|"MUST BE 18"|"DUP-"|"100"|"01/81"|"1"
"60"|"EUROPACIFIC"|"OEM QUALITY"|"272-329"|"100"|"01/81"|"1"
"62"|"FOREIGN AUTO"|"CLAMPS GASKET"|"APF-00256"|"100"|"01/81"|"1"
"64"|"FELPRO GASKTS"|"SILICONE"|"FEL-126"|"100"|"01/81"|"1"
"65"|"FILKO IGN"|"PLUGS WIRES"|"FIL-WTT13"|"100"|"01/81"|"1"
"66"|||"FNS-106877"|"100"|"01/81"|"1"
"67"|"FOUR SEASONS"||"FOU-"|"100"|"01/81"|"1"
"68"|"FRAM FILTERS"|"OIL"|"FRA-"|"100"|"01/81"|"1"
"75"|"GIRLING PROD"||"GIR-"|"100"|"01/81"|"1"
"77"|"GOJO HANDCLNR"||"GOJ-"|"100"|"01/81"|"1"
"78"|"TOOLS ETC"|"SV RECPT WARR"|"ATD-7331"|"100"|"01/81"|"5"
"79"|"GROUP 7 FILTR"|"OIL"|"GRO-"|"100"|"01/81"|"1"
"80"|"GUMOUT"||"GUM-"|"100"|"01/81"|"1"
"82"|"HAYNES MANUAL"|"READING GLASS"|"HAY-"|"100"|"01/81"|"1"
"83"|"HELP LINE"||"HEL-"|"100"|"01/81"|"1"
"91"|"KYB SHOCKS"|"SV RCPT WARR"|"KYB-"|"100"|"01/81"|"1"
"92"|"LOCKTITE"||"LOC-"|"100"|"01/81"|"1"
"93"|"LUBRIMATIC"|"HANDCLEANER"|"LUB-"|"100"|"01/81"|"1"
"94"|"MARVEL OIL"||"MAO-"|"100"|"01/81"|"1"
"96"|"MAZDA PARTS"|"DEALER PARTS"|"MAZ-B63212205"|"100"|"01/81"|"1"
"98"|"MISCELLANOUS"||"ALI-202699"|"100"|"01/81"|"1"
"99"|"MITSUBISHI"|"DEALER PARTS"|"MIT-MD119127"|"100"|"01/81"|"1"
"100"|"MONROE SHOCKS"|"SELL KYB!!!"|"MNS-71924"|"100"|"01/81"|"1"
"102"|"MODINE RADS"|"ANTIFREEZE"|"MOD-1838"|"100"|"01/81"|"1"
"103"|"MOOG CHASSIS"|"SELL TRW/BECK"|"APF-69811"|"100"|"01/81"|"1"
"104"|"MOTHERS WAX"|"WAX FATHER TO"|"MTR-"|"100"|"01/81"|"1"
"105"|"NATIONAL SEAL"|"GREASE"|"NAT-4764"|"100"|"01/81"|"1"
"107"|"NGK SPARK PLG"|"CAP ROTOR"|"NGK-5689"|"100"|"09/02"|"1"
"108"|"NISSAN PARTS"|"DEALER PARTS"|"NIS-"|"100"|"01/81"|"1"
"110"|"OMEGA P/S"|"P/S FLUID"|"OMG-963"|"100"|"01/81"|"1"
"111"|"UNIV BRAKE PT"|"BRAKE FLUID"|"UBP-"|"100"|"01/81"|"1"
"112"|"TOOL TABLE"|"ALL FOR $4.44"|"TBL-"|"100"|"01/81"|"1"
"113"|"PERFORMANCE"|"FILTERS"|"PIT-"|"100"|"01/81"|"1"
"114"|"PERMATEX"||"PER-"|"100"|"01/81"|"1"
"117"|"CARTER PUMPS"||"CTR-"|"100"|"01/81"|"1"
"118"|"PROGAUGE FILT"|"OIL"|"PRO-"|"100"|"01/81"|"1"
"119"|"PYROL"||"PYR-"|"100"|"01/81"|"1"
"120"|"QUALCO"|"MICKEY MOUSE"|"QUA-"|"100"|"01/81"|"1"
"121"|"QUAKER STATE"||"QUK-"|"100"|"01/81"|"1"
"122"|"RADIATORS"|"ANTIFREEZE"|"RAD-1132"|"100"|"01/81"|"1"
"126"|"RESTORE"||"RES-"|"100"|"01/81"|"1"
"128"|"SOLDER SEAL"||"S/S-"|"100"|"01/81"|"1"
"129"|"SAAB PARTS"|"DEALER PARTS"|"EPI-1728332"|"100"|"01/81"|"1"
"131"|"SIGNAL STAT"||"SIG-"|"100"|"01/81"|"1"
"133"|"SIM PRODUCTS"||"SIM-"|"100"|"01/81"|"1"
"134"|"SLICK 50"|"OIL CHANGE"|"SLI-"|"100"|"01/81"|"1"
"137"|"SEALED POWER"||"SPE-"|"100"|"01/81"|"1"
"138"|"SPRAYWAY"||"SPR-"|"100"|"01/81"|"1"
"139"|"PRECISION"|"GREASE"|"PRE-"|"100"|"01/81"|"1"
"140"|"STANT"|"ANTIFREEZE"|"STA-"|"100"|"01/81"|"1"
"141"|"STANDARD ENG"|"GIVE ME FILKO"|"STD-US276"|"100"|"01/81"|"1"
"142"|"EPI EXHAUST"||"EPH-"|"100"|"01/81"|"1"
"143"|"STP PRODUCTS"||"STP-"|"100"|"01/81"|"1"
"144"|"SUBARU PARTS"|"DEALER PARTS"|"SUB-"|"100"|"01/81"|"1"
"145"|"SWED CAR PART"||"SWE-"|"100"|"01/81"|"1"
"146"|"TRIDON WIPERS"|"WINDO WASH"|"TDN-"|"100"|"01/81"|"1"
"147"|"TECHRON"||"TEC-"|"100"|"01/81"|"1"
"148"|"TEXACO OIL"|"FILTERS"|"TEX-"|"100"|"01/81"|"1"
"149"|"TAILOR MADE"||"TMP-"|"100"|"01/81"|"1"
"150"|"TOMCO"||"TOC-4-477"|"100"|"01/81"|"1"
"151"|"TOYOTA PARTS"|"DEALER PARTS"|"DPA-1632562010"|"100"|"01/81"|"1"
"152"|"TRADCO PROD"||"TRA-"|"100"|"01/81"|"1"
"153"|"TRICO WIPERS"||"TRI-"|"100"|"01/81"|"1"
"154"|"TRW CHASSIS"||"TRW-"|"100"|"01/81"|"1"
"155"|"TURTLE WAX"||"TUR-"|"100"|"01/81"|"1"
"156"|"AC DELCO BATT"|"SV RCPT WARR"|"ACD-7024281"|"100"|"01/81"|"1"
"157"|"UBP DISC DRUM"||"141-800"|"100"|"01/81"|"1"
"158"|"VALVOLINE"||"VAL-"|"100"|"01/81"|"1"
"159"|"VOLVO PARTS"|"DEALER PARTS"|"VOL-"|"100"|"01/81"|"1"
"160"|"VOLKSWAGEN"|"OEM QUALITY"|"1JO-407365C"|"100"|"01/81"|"1"
"161"|"WD-40"||"W/D-"|"100"|"01/81"|"1"
"162"|"WALKER EXHAUS"|"CLAMPS GASKET"|"WAL-15050"|"100"|"01/81"|"1"
"163"|"LIGHT BULBS"||"WBB-"|"100"|"01/81"|"1"
"164"|"WAGNER PROD"|"BRAKE FLUID"|"WBG-BD61349"|"100"|"01/81"|"1"
"165"|"WAGNER SHOES"|"WHEEL  CYLS"|"WGS-"|"100"|"01/81"|"1"
"166"|"WIX FILTERS"||"WIX-"|"100"|"01/81"|"1"
"169"|"WAL GASKETS"||"NIC-194"|"100"|"01/81"|"1"
"170"|"NGK WIRES"||"NGK-ME74"|"100"|"01/81"|"1"
"171"|"FEDERAL MOGEL"||"FED-"|"100"|"01/81"|"1"
"172"|"GDI RADIATORS"|"ANTIFREEZE"|"GDI-"|"100"|"01/81"|"1"
"176"|"WORLDPAC PART"||"BAN-3450B"|"100"|"01/81"|"1"
"179"|"AUTO PRIDE"|"TOMCO ALT"|"TMA-"|"100"|"01/81"|"1"
"180"|"SNO/HOWE"||"DPA-24023"|"100"|"01/81"|"1"
"181"|"CONTI BELTS"|"FOR AL"|"CON-"|"100"|"01/81"|"1"
"182"|"BEC REMAN"|"NEW PRICING!!"|"BEA-"|"100"|"01/81"|"1"
"183"|"APF EXHAUST"||"APF-"|"100"|"01/81"|"1"
"184"|"HARDWARE"|"TOOLS"|"HDW-"|"100"|"01/81"|"1"
"185"|"PENZOIL"|"FILTERS"|"PZL-"|"100"|"01/81"|"1"
"186"|"WOLFSHEAD"|"FILTERS"|"WLF-"|"100"|"01/81"|"1"
"187"|"WURTH"||"WUR-"|"100"|"01/81"|"1"
"188"|"ETW TOOLS"|"SPECIAL ORDER"|"ETW-PRL1"|"100"|"01/81"|"1"
"189"|"RELIANCE"||"REL-7722"|"100"|"01/81"|"1"
"190"|"BOSCH"|"NEW PRICING"|"BOS-"|"100"|"02/05"|"2"
"191"|"BOSCH FILTERS"||"BOF-"|"100"|"01/81"|"2"
"192"|"BOSCH PLUGS"||"BOP-"|"100"|"02/05"|"2"
"193"|"BOSCH REMAN"|"START-N-ALT"|"BOR-"|"100"|"02/05"|"2"
"194"|"BOSCH WIRES"||"BOW-"|"100"|"02/05"|"2"
"199"|"BOS SUPERCEED"|"USE NEW NUMBR"|"BOS-50003"|"100"|"01/81"|"1"
"200"|"EDELMAN"||"EDB-"|"100"|"01/81"|"1"
"201"|"U-FIX-IT"||"FIX-"|"100"|"01/81"|"1"
"202"|"TOPLINE"||"TOP-CS5086LB"|"100"|"01/81"|"1"
"203"|||"NJA-"|"100"|"01/81"|"1"
"204"|"WASH PRODUCTS"||"WSH-"|"100"|"01/81"|"1"
"210"|"CCT CV SHAFTS"|"--USE ATT--"|"CCT-"|"100"|"02/02"|"1"
"211"|"GP SORENSON"||"GPS-10-5008"|"100"|"09/02"|"1"
"212"|"AEI"|"MAY COST MORE"|"AEI-801-1036"|"100"|"01/81"|"1"
"213"|||"GLF-"|"100"|"01/81"|"1"
"214"|||"YNK-"|"100"|"01/81"|"1"
"215"|||"AEX-"|"100"|"01/81"|"1"
"251"|"TEST"||"WTF-"|"100"|"01/81"|"1"
"252"|"USED PARTS"||"USD-"|"100"|"01/81"|"1"
"254"|"MISC"||"FEL-MS96105"|"100"|"01/81"|"1"
"255"|"MISC CODES"|"LABOR - MISC"|"MIS-1"|"100"|"01/81"|"1"
